image,latitude,longitude
FRAMES/LEFT\prise21L\2022_02_26_151534.jpg,48.575508734357946,7.507243377387221
FRAMES/LEFT\prise31L\2022_02_26_151605.jpg,48.57548888888889,7.507211111111111
FRAMES/LEFT\prise31L\2022_02_26_151615.jpg,48.57548888888889,7.507211111111111
FRAMES/LEFT\prise31L\2022_02_26_151625.jpg,48.575494423663066,7.507216645917627
FRAMES/LEFT\prise31L\2022_02_26_151635.jpg,48.575499634636465,7.5072191704327045
FRAMES/LEFT\prise31L\2022_02_26_151645.jpg,48.575497002145624,7.507213815554125
FRAMES/LEFT\prise31L\2022_02_26_151655.jpg,48.57547529767779,7.507145873167623
FRAMES/LEFT\prise31L\2022_02_26_151705.jpg,48.57530887090732,7.506403757644537
FRAMES/LEFT\prise31L\2022_02_26_151715.jpg,48.575152318781456,7.5057854770531405
FRAMES/LEFT\prise31L\2022_02_26_151725.jpg,48.57506401602088,7.505733649945582
FRAMES/LEFT\prise31L\2022_02_26_151735.jpg,48.57523910854842,7.506159837495638
FRAMES/LEFT\prise31L\2022_02_26_151745.jpg,48.575472410894996,7.507219350073855
FRAMES/LEFT\prise31L\2022_02_26_151755.jpg,48.57566490649065,7.508338723805673
FRAMES/LEFT\prise31L\2022_02_26_151805.jpg,48.575918250615985,7.509451498620517
FRAMES/LEFT\prise31L\2022_02_26_151815.jpg,48.57575878584428,7.509904572564612
FRAMES/LEFT\prise31L\2022_02_26_151825.jpg,48.57508122826286,7.510136351052049
FRAMES/LEFT\prise31L\2022_02_26_151835.jpg,48.574468863297085,7.5104476247266945
FRAMES/LEFT\prise31L\2022_02_26_151845.jpg,48.57380929431009,7.510837821893916
FRAMES/LEFT\prise31L\2022_02_26_151855.jpg,48.57325137881887,7.511429548695418
FRAMES/LEFT\prise31L\2022_02_26_151905.jpg,48.57273180990433,7.512319572748268
FRAMES/LEFT\prise31L\2022_02_26_151915.jpg,48.572261709120795,7.512909057223016
FRAMES/LEFT\prise31L\2022_02_26_151925.jpg,48.571661660897306,7.513645051376244
FRAMES/LEFT\prise41L\2022_02_26_155410.jpg,48.57360555555556,7.507202777777778
FRAMES/LEFT\prise41L\2022_02_26_155420.jpg,48.57360831536066,7.507208297444731
FRAMES/LEFT\prise41L\2022_02_26_155430.jpg,48.57360833055278,7.507205552753964
FRAMES/LEFT\prise41L\2022_02_26_155440.jpg,48.57360823723821,7.507208141145667
FRAMES/LEFT\prise41L\2022_02_26_155450.jpg,48.573608260019554,7.5072108910372295
